movie_introduce,movie_eval,movie_name,movie_num,movie_star
爱在日落黄昏时,249662人评价,爱在日落黄昏时,116,8.8
菊次郎的夏天,242682人评价,菊次郎的夏天,117,8.8
驯龙高手,367771人评价,驯龙高手,118,8.7
请以你的名字呼唤我,264589人评价,请以你的名字呼唤我,119,8.8
幸福终点站,277549人评价,幸福终点站,120,8.7
哈利·波特与死亡圣器(下),356606人评价,哈利·波特与死亡圣器(下),121,8.7
杀人回忆,265065人评价,杀人回忆,122,8.7
神偷奶爸,497057人评价,神偷奶爸,123,8.5
借东西的小人阿莉埃蒂,272124人评价,借东西的小人阿莉埃蒂,124,8.7
小森林冬春篇,164719人评价,小森林 冬春篇,125,9.0
七武士,98046人评价,七武士,126,9.2
7号房的礼物,233665人评价,7号房的礼物,127,8.8
怪兽电力公司,316222人评价,怪兽电力公司,128,8.6
岁月神偷,362537人评价,岁月神偷,129,8.6
真爱至上,391565人评价,真爱至上,130,8.5
电锯惊魂,249366人评价,电锯惊魂,131,8.7
萤火之森,216840人评价,萤火之森,132,8.8
谍影重重3,226838人评价,谍影重重3,133,8.7
萤火虫之墓,247230人评价,萤火虫之墓,134,8.7
疯狂原始人,460695人评价,疯狂原始人,135,8.7
唐伯虎点秋香,456209人评价,唐伯虎点秋香,136,8.5
超能陆战队,484284人评价,超能陆战队,137,8.6
蝙蝠侠：黑暗骑士崛起,365965人评价,蝙蝠侠：黑暗骑士崛起,138,8.6
东邪西毒,320065人评价,东邪西毒,139,8.6
喜宴,174677人评价,喜宴,140,8.8
贫民窟的百万富翁,460884人评价,贫民窟的百万富翁,141,8.5
记忆碎片,339582人评价,记忆碎片,142,8.6
黑天鹅,501102人评价,黑天鹅,143,8.5
英雄本色,233382人评价,英雄本色,144,8.6
心迷宫,240393人评价,心迷宫,145,8.7
无人知晓,103721人评价,无人知晓,146,9.1
雨人,245033人评价,雨人,147,8.7
傲慢与偏见,379382人评价,傲慢与偏见,148,8.5
荒蛮故事,192458人评价,荒蛮故事,149,8.8
血战钢锯岭,412568人评价,血战钢锯岭,150,8.7
纵横四海,194893人评价,纵横四海,151,8.7
卢旺达饭店,147214人评价,卢旺达饭店,152,8.9
时空恋旅人,262276人评价,时空恋旅人,153,8.7
教父3,166841人评价,教父3,154,8.8
玩具总动员3,237555人评价,玩具总动员3,155,8.8
海边的曼彻斯特,262313人评价,海边的曼彻斯特,156,8.6
达拉斯买家俱乐部,235547人评价,达拉斯买家俱乐部,157,8.7
花样年华,302856人评价,花样年华,158,8.6
完美的世界,104721人评价,完美的世界,159,9.0
海洋,109996人评价,海洋,160,9.0
虎口脱险,127425人评价,虎口脱险,161,8.9
恋恋笔记本,346818人评价,恋恋笔记本,162,8.5
你看起来好像很好吃,182384人评价,你看起来好像很好吃,163,8.8
燃情岁月,170947人评价,燃情岁月,164,8.7
二十二,143413人评价,二十二,165,8.7
雨中曲,111599人评价,雨中曲,166,9.0
冰川时代,336976人评价,冰川时代,167,8.5
我是山姆,132531人评价,我是山姆,168,8.8
头脑特工队,296827人评价,头脑特工队,169,8.7
被解救的姜戈,315969人评价,被解救的姜戈,170,8.6
穿越时空的少女,223466人评价,穿越时空的少女,171,8.6
魂断蓝桥,151802人评价,魂断蓝桥,172,8.8
人工智能,232516人评价,人工智能,173,8.6
猜火车,286741人评价,猜火车,174,8.5
无敌破坏王,261526人评价,无敌破坏王,175,8.7
爆裂鼓手,291070人评价,爆裂鼓手,176,8.6
你的名字。,637400人评价,你的名字。,177,8.4
未麻的部屋,126731人评价,未麻的部屋,178,8.9
罗生门,157029人评价,罗生门,179,8.7
模仿游戏,316812人评价,模仿游戏,180,8.6
一个叫欧维的男人决定去死,165298人评价,一个叫欧维的男人决定去死,181,8.8
房间,199858人评价,房间,182,8.8
阿飞正传,261943人评价,阿飞正传,183,8.5
香水,330721人评价,香水,184,8.4
浪潮,158682人评价,浪潮,185,8.7
朗读者,314381人评价,朗读者,186,8.5
忠犬八公物语,81472人评价,忠犬八公物语,187,9.1
恐怖游轮,404326人评价,恐怖游轮,188,8.4
魔女宅急便,244783人评价,魔女宅急便,189,8.5
完美陌生人,283513人评价,完美陌生人,190,8.6
可可西里,155905人评价,可可西里,191,8.7
哪吒闹海,105210人评价,哪吒闹海,192,8.9
战争之王,204572人评价,战争之王,193,8.6
谍影重重,234369人评价,谍影重重,194,8.5
谍影重重2,195668人评价,谍影重重2,195,8.6
